Gene	Count
TMOD4	2
AC012493.2	0
ETV4	5
DNASE2	2
PRH1	0
MOB4	0
KAT2A	9
GCNT3	4
APOC2	1
SREBF2	4
CDC40	3
HLA-B	0
CNN3	3
NAGS	5
CYP2C19	10
TMEM74B	10
HOXD4	7
TRAJ31	0
TNFRSF11B	3
AMZ2	3
ACER2	2
TPP2	15
AP000304.12,ATP5O	0
THBS4	12
MED9	1
NBPF4	0
B4GALT2	12
TIMM9	1
GTPBP8	0
GLP2R	7
ZNF662	8
GCSAM	1
STX1A	1
KCNV2	17
RARRES1	0
C20orf144	3
SULT1C4	0
SSRP1	7
BSPRY	5
MTSS1	10
CCDC113	4
APOBEC4	2
LTN1	18
TECPR2	23
AL355531.2	0
AC004466.1	5
PFN1	2
SLC12A8	10
ATP9A	11
LGI4	6
AC003006.7,ZNF551	0
USHBP1	7
MATN1	6
PTPRJ	17
TRMT10C	2
AGO2	6
NDUFAF5	2
ABCC5	17
ARHGEF39	5
ZBTB39	8
HMG20B	1
RP11-977G19.10,CS	0
AK2	4
TSFM	0
ZCCHC4	6
FNDC1	18
PRPS2	0
TRPM5	23
CILP	18
CTD-2583A14.9	0
UBASH3A	7
SPDYE1	0
SPATA6	1
GFPT1	5
TAS2R9	0
FAM186A	4
APOBEC3D	0
APBB3	8
CRYBA4	5
STARD4	2
HNF1B	4
PRRC2B	29
TMEM86A	4
ARL4C	3
AGO4	5
SFTA2	0
CCDC85B	4
CPE	3
LILRA1	10
DHRS4L2	1
IAPP	0
WWOX	6
C8orf12	0
UGT2B10	1
ANXA2R	0
SLIT3	23
TMEM110,TMEM110-MUSTN1	3
PHYHD1	4
SH2D4A	4
LIPK	2
APOL5	5
DLG5	20
OR6B2	0
CLUL1	2
CHDH	7
AURKC	2
RP4-583P15.14,LIME1	0
MSH5,MSH5-SAPCD1	1
DOLPP1	2
DHX36	9
ACSM4	9
CDNF	2
LRRC4B	11
CD58	2
TMEM176A	0
SRPK1	0
NUP107	3
DNAAF3	8
XPO4	6
PLXNB3	0
PDIA6	6
KIF11	3
ILKAP	5
COMMD3	0
DUOXA1	6
NDUFAB1	1
GPR180	4
RIMS4	4
GABPB2	7
CDK3	6
BMPR1B	5
LYRM1	0
CIR1	5
PPFIA2	9
RP11-342M21.2	0
C1orf227	1
PSMA8	2
TGFBR2	3
C12orf39	1
HMGCLL1	2
COMMD3,COMMD3-BMI1	0
TRAV12-2	2
SAGE1	0
PLA2G4C	8
CRHR2	3
IL6	1
TPD52	0
ASS1	6
ZNF20	2
AMTN	1
ATP2C1	6
CABP5	3
COL6A6	32
IGJ	1
ELOF1	0
HOXD3	6
ZXDB	0
IGSF9	18
LINC01119	0
KIAA1244	24
COX8C	0
CBFA2T3	16
MEIG1	0
RNF19A	13
C5orf42	15
TBX1	9
TBL3	12
HIST1H4K	0
SATB2	3
TESK1	11
IFT88	5
SLC16A10	11
CCL2	0
DCAF16	3
PFAS	28
KLHL15	0
WARS	2
ZNF302	2
RP11-113D6.6	1
TRIM42	6
RP11-527L4.2	0
KLHL7	4
CCDC150	1
FAM173B	2
ZGLP1	5
AP5S1	5
TRPV3	8
DDRGK1	3
TRBV10-2	0
LMTK3	12
HECTD1	17
HLA-DMB	1
WDR66	9
EIF3M	0
UBLCP1	1
APOC3	1
KIAA0556	23
CA3	4
TNFRSF13C	3
CPS1	21
AASDHPPT	2
LPAR4	0
LYRM5	1
KCNIP2	1
HRH3	6
IKZF4	8
CCDC116	9
MYO1A	19
NIPA1	6
RNF152	5
NR1I3	4
TRPM3	17
THOC7	3
PTRF	5
CT83	0
EVI2A	1
TMEM9	1
CDKL5	0
ERCC2	12
KLHL24	7
UBE2F	0
RNFT2	8
LUC7L2,C7orf55-LUC7L2	0
KANK2	15
LCE1C	8
FAM122C	0
HDAC3	4
NLRP7	13
TMEM235	3
NCMAP	1
ACTR3C	1
FITM1	5
SRRM5	1
RAB15	3
CATSPERD	14
RTF1	1
TAOK1	6
IL12RB1	17
TMED4	4
TRAFD1	6
ABLIM2	15
DDX19B	1
AC011530.4,DMWD	0
MVD	6
AC008686.1	0
PLSCR2	1
KRTAP4-2	0
PRDM12	2
CEBPE	10
SGCB	5
KLRC4	0
TRAJ37	0
TBX10	3
SLC9B1P1	0
TTF2	9
GSPT2	0
PNPLA5	4
ARHGAP12	5
ARNTL	4
TBC1D25	0
MFNG	1
SLC25A22	5
BMP4	3
NONO	0
JMJD6	4
TRAV36DV7	0
LGALS7B	0
MZT2A	4
CNTRL	6
DISP2	23
CELF4	6
CBL	13
ADAMTS2	18
AL365202.1	0
ACAD8	9
IMPDH2	5
WDR62	26
GPHA2	0
PCDHGA7	0
MAP1A	29
OR5I1	1
TNF	4
GJA1	7
PEA15	0
FLJ27365	5
IGLV7-46	0
PNRC2	0
UCN	0
UGT2A2,UGT2A1	2
GEM	3
KCNH5	7
MRPL42	0
CHRM1	7
UPK1A	2
NEUROD1	1
SMG8	14
ATP1B2	3
C3orf65	3
GNPDA1	5
ABCA9	13
TAS2R31	1
PAK3	0
CSF3R	10
TPD52L2	0
SNX9	9
CASP4	3
OR5D16	0
RTCA	7
RP11-404P21.8	0
MTA1	6
CLMP	5
WBP1	4
HIST3H3	3
ZDHHC2	3
HSF1	12
ARHGAP19-SLIT1,ARHGAP19	0
WDR12	0
NSUN3	1
YBX3	5
F10	8
PCK2	9
GALC	12
CCDC97	4
MAGOHB	1
RAB6C	0
HACE1	1
ARFGAP2	3
STAC	10
EEFSEC	8
OSBP2	9
ZNF75A	5
GOLPH3	3
KIAA1328	2
STRA8	1
MEI1	8
OCIAD1	0
ASIC3	6
C14orf166B	7
SLC39A7	8
NAV3	21
SRSF7	3
BAI1	16
ZBTB8OS	2
MRPL33	0
LRRC58	1
VNN2	4
ADH1A	4
RAB3IP,AC025263.3	1
RER1	1
ANKMY1	13
TMEM132A	14
TBRG4	4
CCDC130	7
SHANK1	53
KLHL22	6
GPX5	1
LIPN	1
PSENEN	1
PPT1	3
TRAPPC12	5
RPGR	0
C8orf87	0
IFI27L2	3
HM13	7
TTC3	13
NFIL3	3
CDH24	8
GOLIM4	8
OR8K1	2
FAM230A	1
OR5AC1	1
NUDT11	0
ZFP90	4
GPR132	2
SHMT1	7
PPP1R16B	1
RNASE11	1
XCR1	2
LIM2	7
ROR1	9
IGHV1OR21-1	0
